Assessment ID,User Name,User Email,Topic,Software Version,Legacy vs New,Start,End,Duration (h:mm:ss),Duration (mins),Duration (seconds),Num Correct,Num Possible,Score Percentage,Passed,Proctored,Proctor,Northstar Location,Tags
1000100,Firstname Lastname,example@email.com,Microsoft PowerPoint,Office 2016,New,2024-05-16 09:53:59.885060-04:00,2024-05-16 09:55:26.843190-04:00,0:01:26,1,26,0,26,0,N,Y,Proctor Name,Drexel University,"Digital Navigator, Self-Paced"
1000101,Firstname Lastname,example@email.com,Basic Computer Skills,,New,2024-02-20 12:48:12.898967-05:00,2024-02-20 12:51:00.734030-05:00,0:02:47,2,47,37,38,97.222,Y,Y,Miles Cumiskey,Drexel University,"Digital Navigator, Self-Paced"
1000102,Firstname Lastname,example@email.com,Supporting K-12 Distance Learning,,New,2023-07-07 10:41:48.309182-04:00,2023-07-07 10:45:07.625309-04:00,0:03:19,3,19,21,23,89.286,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000103,Firstname Lastname,example@email.com,Your Digital Footprint,,New,2023-07-07 10:37:25.853230-04:00,2023-07-07 10:41:25.167172-04:00,0:03:59,3,59,16,17,95.454,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000104,Firstname Lastname,example@email.com,Accessing Telehealth Appointments,,New,2023-07-07 10:28:36.671889-04:00,2023-07-07 10:36:27.150831-04:00,0:07:50,7,50,21,22,92.857,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000105,Firstname Lastname,example@email.com,Career Search Skills,,New,2023-07-07 09:56:16.443475-04:00,2023-07-07 10:28:10.677803-04:00,0:31:54,31,54,28,31,89.394,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000106,Firstname Lastname,example@email.com,Information Literacy,,New,2023-07-07 09:39:14.915438-04:00,2023-07-07 09:55:13.691009-04:00,0:15:58,15,58,28,32,89.035,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000107,Firstname Lastname,example@email.com,Social Media,,New,2023-07-07 09:36:01.282132-04:00,2023-07-07 09:38:57.549634-04:00,0:02:56,2,56,17,17,100,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000108,Firstname Lastname,example@email.com,Google Docs,,New,2023-07-07 09:31:36.645263-04:00,2023-07-07 09:35:33.699958-04:00,0:03:57,3,57,24,26,94.118,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000109,Firstname Lastname,example@email.com,Microsoft PowerPoint,Office 2016,New,2023-07-07 09:24:17.895466-04:00,2023-07-07 09:30:23.016057-04:00,0:06:05,6,5,24,26,92.157,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000110,Firstname Lastname,example@email.com,Microsoft Excel,Office 2016,New,2023-07-07 09:12:28.823590-04:00,2023-07-07 09:23:20.312834-04:00,0:10:51,10,51,30,31,97.059,Y,Y,Proctor Name,Drexel University,"Digital Navigator, Self-Paced"
1000111,Firstname Lastname,example@email.com,Mac OS,,New,2023-07-07 09:03:58.986654-04:00,2023-07-07 09:08:11.156853-04:00,0:04:12,4,12,24,26,94.048,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000112,Firstname Lastname,example@email.com,Windows,10,New,2023-07-07 08:59:28.400447-04:00,2023-07-07 09:03:27.927397-04:00,0:03:59,3,59,26,26,100,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000113,Firstname Lastname,example@email.com,Microsoft Word,Office 2016,New,2023-07-07 08:17:01.779375-04:00,2023-07-07 08:19:42.938066-04:00,0:02:41,2,41,23,26,91.071,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000114,Firstname Lastname,example@email.com,Using Email,,New,2023-07-07 08:12:13.229994-04:00,2023-07-07 08:16:29.920181-04:00,0:04:16,4,16,30,32,94.872,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
1000115,Firstname Lastname,example@email.com,Using Email,,New,2023-07-06 15:17:57.401798-04:00,2023-07-06 15:23:43.966455-04:00,0:05:46,5,46,28,32,90.769,Y,N,,Drexel University,"Digital Navigator, Self-Paced"
